,datetime,tweet_id,text,reply_count,retweet_count,like_count,username
0,2022-10-31 02:34:57+00:00,1586909561260326912,@RUDEDOGE_X no,41,14,405,jack
1,2022-10-31 02:28:32+00:00,1586907947241799685,https://t.co/8dX82cJEht,674,1313,7149,jack
2,2022-10-27 21:09:50+00:00,1585740580876800000,about our #bitcoin hardware… https://t.co/bnM2cJt3b8,336,337,2366,jack
3,2022-10-27 20:05:06+00:00,1585724288274931714,web5 is happening https://t.co/DESDogeXwA,1582,2555,13847,jack
4,2022-10-22 14:24:15+00:00,1583826572620226560,https://t.co/cd0CbIB5tB,206,215,1581,jack
5,2022-10-19 19:27:15+00:00,1582815660777709568,https://t.co/wm16dFo2GK,82,84,385,jack
6,2022-10-19 04:02:58+00:00,1582583058821046273,@PrestonPysh @LeeWallisUK Eventually!,37,17,541,jack
7,2022-10-19 02:36:47+00:00,1582561368720359425,@AThrouvalas no tokens,76,72,1059,jack
8,2022-10-18 20:48:20+00:00,1582473679669460992,@Sean00990 @Johnnyfriel2 depends on what you’re trying to do with it and who you’re submitting it to,5,5,42,jack
9,2022-10-18 20:42:11+00:00,1582472130486095872,"@znmead @at_protocol @desoprotocol competition in this space is a good thing, not to anyone’s peril

(Deso can use this protocol too)",23,29,137,jack
10,2022-10-18 20:27:59+00:00,1582468555265564672,@Xx_WiReD_xX Yes,5,12,288,jack
11,2022-10-18 20:18:58+00:00,1582466287745519616,@iowegun Only thing that will survive,22,9,117,jack
12,2022-10-18 20:16:45+00:00,1582465730049544193,@AnnicerisDruss Of course,4,6,123,jack
13,2022-10-18 20:15:40+00:00,1582465456165638144,@JFK_SDCA @wongmjane @at_protocol It’s a competitor to any company trying to own the underlying fundamentals for social media or the data of the people using it,73,61,319,jack
14,2022-10-18 20:12:24+00:00,1582464636779368451,@BrantlyMillegan No I can’t,68,6,120,jack
15,2022-10-18 20:08:47+00:00,1582463724274581504,@niftyinvest @desoprotocol disappointed you believe blindly that everything needs to be on a blockchain,19,9,84,jack
16,2022-10-18 20:07:16+00:00,1582463343549612032,"@Johnnyfriel2 Doesn’t require ties to real world identity. 

That would be very wrong.",57,93,1309,jack
